"31-12-2021";"31-12-2021";"Rente af indestående";"-1.701,45";"1.029.295,56"
"30-12-2021";"30-12-2021";"Gebyr";"-850,50";"1.030.997,01"
"30-12-2021";"30-12-2021";"OVERFØRSEL";"-27,50";"1.031.847,51"
"29-12-2021";"29-12-2021";"løn dec";"-31.356,25";"1.031.875,01"
"29-12-2021";"29-12-2021";"løn okt-nov";"-64.105,38";"1.063.231,26"
"20-12-2021";"20-12-2021";"kontaktløs Dankort Netto Dildhaven Nota 473701";"-89,95";"1.127.336,64"
"13-12-2021";"13-12-2021";"kontaktløs Dankort LIDL Nota 270617";"-75,90";"1.127.426,59"
"10-12-2021";"10-12-2021";"AFREGNING TIL TOLD & SKAT";"-39.102,00";"1.127.502,49"
"10-12-2021";"10-12-2021";"Elgiganten.dk, Koebenhavn S Notanr 31872";"-1.299,00";"1.166.604,49"
"07-12-2021";"07-12-2021";"OVERFØRSEL";"-27,50";"1.167.903,49"
"07-12-2021";"07-12-2021";"Dankort-køb politiken.dk Nota CP-03501817";"-299,00";"1.167.930,99"
"07-12-2021";"07-12-2021";"kontaktløs Dankort LIDL Nota 821684";"-63,45";"1.168.229,99"
"06-12-2021";"06-12-2021";"Dankort-køb TELMORE A/S Nota C12211LUHMJB";"-348,00";"1.168.293,44"
"03-12-2021";"03-12-2021";"Visa/Dankort USD 15,00 Kurs 667,93 Nota nr. 41537 FRANTECH* FRANTECH 540, HTTPSMY.FRA";"-100,19";"1.168.641,44"
"02-12-2021";"02-12-2021";"f.nr. 202109";"72.000,00";"1.168.741,63"
"01-12-2021";"01-12-2021";"kontaktløs Dankort LIDL Nota 816292";"-51,90";"1.096.741,63"
"30-11-2021";"30-11-2021";"kontaktløs Dankort LIDL Nota 258552";"-75,95";"1.096.793,53"
"29-11-2021";"29-11-2021";"Virksomhedsskat/afg.";"6.343,40";"1.096.869,48"
"17-11-2021";"17-11-2021";"kontaktløs Dankort REMA 1000 Ballerup Nota 890851";"-82,85";"1.090.526,08"
"16-11-2021";"16-11-2021";"OVERFØRSEL";"-27,50";"1.090.608,93"
"10-11-2021";"10-11-2021";"MobilePay køb DAN CATERING V/JØRN PEDERSEN";"-64,00";"1.090.636,43"
"08-11-2021";"08-11-2021";"kontaktløs Dankort LIDL Nota 802067";"-85,90";"1.090.700,43"
"08-11-2021";"08-11-2021";"Betalingsservice ATP LIVSLANG PENSION Aftalenr. 903811345";"-852,03";"1.090.786,33"
"08-11-2021";"08-11-2021";"Dankort-køb politiken.dk Nota CP-03385518";"-299,00";"1.091.638,36"
"04-11-2021";"04-11-2021";"revisor";"-12.500,00";"1.091.937,36"
"04-11-2021";"04-11-2021";"Dankort-køb TELMORE A/S Nota C11211KLCPSB";"-348,00";"1.104.437,36"
"03-11-2021";"03-11-2021";"Visa/Dankort USD 15,00 Kurs 654,06 Nota nr. 05684 FRANTECH* FRANTECH 527, HTTPSMY.FRA";"-98,11";"1.104.785,36"
"03-11-2021";"03-11-2021";"f.nr. 202108";"94.500,00";"1.104.883,47"
"02-11-2021";"02-11-2021";"kontaktløs Dankort Coop 365 Dildhaven Nota 673589";"-47,95";"1.010.383,47"
"01-11-2021";"01-11-2021";"Betalingsservice ENERGISELSKABET NATUR-ENERGI A/S Aftalenr. 917338144";"-3.806,40";"1.010.431,42"
"01-11-2021";"01-11-2021";"MobilePay køb Cycling4Cancer";"-500,00";"1.014.237,82"
"28-10-2021";"28-10-2021";"kontaktløs Dankort LIDL Nota 377139";"-56,90";"1.014.737,82"
"28-10-2021";"28-10-2021";"Elgiganten.dk, Koebenhavn S Notanr 86872";"-1.917,00";"1.014.794,72"
"26-10-2021";"26-10-2021";"Dankort Netto Dildhaven Nota 046558";"-57,00";"1.016.711,72"
"15-10-2021";"15-10-2021";"kontaktløs Dankort Tank Kai Dige Bach Nota 969064";"-12,00";"1.016.768,72"
"14-10-2021";"14-10-2021";"Visa/Dankort Elgiganten.dk, Koebenhavn S, Nota nr. 13013";"-5.999,00";"1.016.780,72"
"14-10-2021";"14-10-2021";"Betalingsservice ATP - SAMLET BETALING Aftalenr. 905240531";"-1.066,27";"1.022.779,72"
"12-10-2021";"12-10-2021";"kontaktløs Dankort Coop 365 Dildhaven Nota 655261";"-58,95";"1.023.845,99"
"11-10-2021";"11-10-2021";"AFREGNING TIL TOLD & SKAT";"-19.556,00";"1.023.904,94"
"08-10-2021";"08-10-2021";"kontaktløs Dankort LIDL Nota 203625";"-36,00";"1.043.460,94"
"07-10-2021";"07-10-2021";"Dankort-køb politiken.dk Nota CP-03100164";"-299,00";"1.043.496,94"
"05-10-2021";"05-10-2021";"OVERFØRSEL";"-27,50";"1.043.795,94"
"05-10-2021";"05-10-2021";"Visa/Dankort USD 15,00 Kurs 652,93 Nota nr. 06090 FRANTECH* FRANTECH 514, HTTPSMY.FRA";"-97,94";"1.043.823,44"
"04-10-2021";"04-10-2021";"kontaktløs Dankort REMA 1000 Greve Nota 940901";"-89,80";"1.043.921,38"
"04-10-2021";"04-10-2021";"Dankort-køb TELMORE A/S Nota C10211JMC17B";"-348,00";"1.044.011,18"
"04-10-2021";"04-10-2021";"f.nr. 202107";"101.250,00";"1.044.359,18"
"01-10-2021";"01-10-2021";"løn sep";"-29.959,61";"943.109,18"
"01-10-2021";"01-10-2021";"løn aug";"-31.672,73";"973.068,79"
"01-10-2021";"01-10-2021";"løn juli";"-30.207,29";"1.004.741,52"
"01-10-2021";"01-10-2021";"kontaktløs Dankort LIDL Nota 761893";"-44,95";"1.034.948,81"
"01-10-2021";"01-10-2021";"Betalingsservice FIBIA P/S Aftalenr. 918707218";"-966,75";"1.034.993,76"
"30-09-2021";"30-09-2021";"Rente af indestående";"-1.318,72";"1.035.960,51"
"30-09-2021";"30-09-2021";"Gebyr";"-850,50";"1.037.279,23"
"24-09-2021";"24-09-2021";"kontaktløs Dankort Tank Kai Dige Bach Nota 957314";"-12,00";"1.038.129,73"
"22-09-2021";"22-09-2021";"kontaktløs Dankort Coop 365 Dildhaven Nota 637517";"-36,90";"1.038.141,73"
"15-09-2021";"15-09-2021";"MobilePay køb DAN CATERING V/JØRN PEDERSEN";"-80,00";"1.038.178,63"
"10-09-2021";"10-09-2021";"AFREGNING TIL TOLD & SKAT";"-19.556,00";"1.038.258,63"
"10-09-2021";"10-09-2021";"kontaktløs Dankort LIDL Nota 175885";"-81,19";"1.057.814,63"
"07-09-2021";"07-09-2021";"OVERFØRSEL";"-27,50";"1.057.895,82"
"07-09-2021";"07-09-2021";"Dankort-køb politiken.dk Nota CP-02750068";"-299,00";"1.057.923,32"
"07-09-2021";"07-09-2021";"kontaktløs Dankort Coop 365 Dildhaven Nota 623914";"-25,00";"1.058.222,32"
"07-09-2021";"07-09-2021";"Visa/Dankort Elgiganten.dk, Koebenhavn S, Nota nr. 95873";"-1.599,00";"1.058.247,32"
"07-09-2021";"07-09-2021";"f.nr. 202104,05,06";"233.500,00";"1.059.846,32"
"06-09-2021";"06-09-2021";"Dankort-køb TELMORE A/S Nota C09211IPI4SB";"-348,00";"826.346,32"
"03-09-2021";"03-09-2021";"kontaktløs Dankort LIDL Nota 736239";"-32,95";"826.694,32"
"03-09-2021";"03-09-2021";"Visa/Dankort USD 15,00 Kurs 640,13 Nota nr. 93608 FRANTECH* FRANTECH 501, HTTPSMY.FRA";"-96,02";"826.727,27"
"02-09-2021";"02-09-2021";"Dankort-køb Skatteforvaltninge Nota 3100017031";"-53.740,00";"826.823,29"
"26-08-2021";"26-08-2021";"MobilePay køb Borgervænget Kantine";"-28,00";"880.563,29"
"24-08-2021";"24-08-2021";"kontaktløs Dankort Coop 365 Dildhaven Nota 610742";"-60,95";"880.591,29"
"24-08-2021";"24-08-2021";"Askøe 202011";"93.375,00";"880.652,24"
"23-08-2021";"23-08-2021";"Dankort-køb ELGIGANTEN A/S Nota C402614";"-1.320,00";"787.277,24"
"23-08-2021";"23-08-2021";"Askøe 202101";"37.125,00";"788.597,24"
"20-08-2021";"20-08-2021";"kontaktløs Dankort LIDL Nota 723812";"-56,90";"751.472,24"
"18-08-2021";"18-08-2021";"Dankort-køb ELGIGANTEN A/S Nota C693506";"-2.199,00";"751.529,14"
"17-08-2021";"17-08-2021";"kontaktløs Dankort Netto Dildhaven Nota 369175";"-72,20";"753.728,14"
"13-08-2021";"13-08-2021";"MobilePay køb DAN CATERING V/JØRN PEDERSEN";"-60,00";"753.800,34"
"11-08-2021";"11-08-2021";"MobilePay køb DAN CATERING V/JØRN PEDERSEN";"-75,00";"753.860,34"
"10-08-2021";"10-08-2021";"AFREGNING TIL TOLD & SKAT";"-19.556,00";"753.935,34"
"10-08-2021";"10-08-2021";"OVERFØRSEL";"-27,50";"773.491,34"
"09-08-2021";"09-08-2021";"Betalingsservice ATP LIVSLANG PENSION Aftalenr. 903811345";"-1.136,04";"773.518,84"
"09-08-2021";"09-08-2021";"Dankort-køb politiken.dk Nota CP-02452735";"-299,00";"774.654,88"
"06-08-2021";"06-08-2021";"kontaktløs Dankort LIDL Nota 711027";"-42,95";"774.953,88"
"04-08-2021";"04-08-2021";"kontaktløs Dankort LIDL Nota 141171";"-92,95";"774.996,83"
"04-08-2021";"04-08-2021";"Dankort-køb TELMORE A/S Nota C08211HSGDXB";"-348,00";"775.089,78"
"03-08-2021";"03-08-2021";"Visa/Dankort USD 15,00 Kurs 637,13 Nota nr. 74399 FRANTECH* FRANTECH 488, HTTPSMY.FRA";"-95,57";"775.437,78"
"02-08-2021";"02-08-2021";"Betalingsservice ENERGISELSKABET NATUR-ENERGI A/S Aftalenr. 917338144";"-3.190,04";"775.533,35"
"26-07-2021";"26-07-2021";"udbytteskat";"-31.627,77";"778.723,39"
"16-07-2021";"16-07-2021";"kontaktløs Dankort Coop 365 Dildhaven Nota 576356";"-12,00";"810.351,16"
"14-07-2021";"14-07-2021";"kontaktløs Dankort Coop 365 Dildhaven Nota 574509";"-14,00";"810.363,16"
"14-07-2021";"14-07-2021";"Betalingsservice ATP - SAMLET BETALING Aftalenr. 905240531";"-414,81";"810.377,16"
"12-07-2021";"12-07-2021";"AFREGNING TIL TOLD & SKAT";"-19.556,00";"810.791,97"
"12-07-2021";"12-07-2021";"kontaktløs Dankort Netto Dildhaven Nota 339522";"-85,20";"830.347,97"
"08-07-2021";"08-07-2021";"Betalingsservice DK HOSTMASTER A/S Aftalenr. 937477522";"-58,75";"830.433,17"
"07-07-2021";"07-07-2021";"udbytte 2020";"-82.490,00";"830.491,92"
"07-07-2021";"07-07-2021";"løn jun";"-31.882,57";"912.981,92"
"07-07-2021";"07-07-2021";"Dankort-køb politiken.dk Nota CP-02232344";"-299,00";"944.864,49"
"06-07-2021";"06-07-2021";"OVERFØRSEL";"-27,50";"945.163,49"
"05-07-2021";"05-07-2021";"Visa/Dankort USD 15,00 Kurs 637,66 Nota nr. 20273 FRANTECH* FRANTECH 475, HTTPSMY.FRA";"-95,65";"945.190,99"
"05-07-2021";"05-07-2021";"Dankort-køb TELMORE A/S Nota C07211GVQCAB";"-348,00";"945.286,64"
"01-07-2021";"01-07-2021";"Betalingsservice FIBIA P/S Aftalenr. 918707218";"-966,75";"945.634,64"
"01-07-2021";"01-07-2021";"f.nr. 202103";"118.125,00";"946.601,39"
"30-06-2021";"30-06-2021";"Rente af indestående";"-1.358,83";"828.476,39"
"30-06-2021";"30-06-2021";"Gebyr";"-850,00";"829.835,22"
"30-06-2021";"30-06-2021";"kontaktløs Dankort Bageriet Hjortevæn Nota 176671";"-35,00";"830.685,22"
"25-06-2021";"25-06-2021";"kontaktløs Dankort Tank Kai Dige Bach Nota 538345";"-21,50";"830.720,22"
"25-06-2021";"25-06-2021";"kontaktløs Dankort LIDL Nota 674835";"-63,00";"830.741,72"
"23-06-2021";"23-06-2021";"kontaktløs Dankort OK Plus Solrød Str Nota 126877";"-10,00";"830.804,72"
"21-06-2021";"21-06-2021";"kontaktløs Dankort LIDL Nota 112548";"-65,90";"830.814,72"
"16-06-2021";"16-06-2021";"kontaktløs Dankort Coop 365 Dildhaven Nota 549996";"-14,00";"830.880,62"
"14-06-2021";"14-06-2021";"kontaktløs Dankort LIDL Nota 725000";"-47,95";"830.894,62"
"07-06-2021";"07-06-2021";"Dankort-køb politiken.dk Nota CP-02034100";"-299,00";"830.942,57"
"04-06-2021";"04-06-2021";"Dankort-køb TELMORE A/S Nota C06211FZ56ZB";"-348,00";"831.241,57"
"03-06-2021";"03-06-2021";"kontaktløs Dankort LIDL Nota 092415";"-59,91";"831.589,57"
"03-06-2021";"03-06-2021";"Visa/Dankort USD 15,00 Kurs 618,20 Nota nr. 64135 FRANTECH* FRANTECH 465, HTTPSMY.FRA";"-92,73";"831.649,48"
"02-06-2021";"02-06-2021";"kontaktløs Dankort LIDL Nota 345982";"-60,75";"831.742,21"
"01-06-2021";"01-06-2021";"løn mar-maj";"-90.927,39";"831.802,96"
"01-06-2021";"01-06-2021";"OVERFØRSEL";"-50,00";"922.730,35"
"31-05-2021";"31-05-2021";"AFREGNING TIL TOLD & SKAT";"-38.233,00";"922.780,35"
"25-05-2021";"25-05-2021";"kontaktløs Dankort Coop 365 Dildhaven Nota 528027";"-73,95";"961.013,35"
"20-05-2021";"20-05-2021";"Dankort-køb ONE.COM A/S Nota 145398411";"-468,00";"961.087,30"
"19-05-2021";"19-05-2021";"kontaktløs Dankort OK Plus Solrød Str Nota 107335";"-10,00";"961.555,30"
"18-05-2021";"18-05-2021";"kontaktløs Dankort LIDL Nota 079033";"-90,90";"961.565,30"
"11-05-2021";"11-05-2021";"OVERFØRSEL";"-25,00";"961.656,20"
"11-05-2021";"11-05-2021";"kontaktløs Dankort REMA 1000 Ballerup Nota 706703";"-79,95";"961.681,20"
"11-05-2021";"11-05-2021";"Gottlieb IT ApS";"33.750,00";"961.761,15"
"10-05-2021";"10-05-2021";"Dankort-køb BilligToner.dk ApS Nota 000212805";"-246,00";"928.011,15"
"07-05-2021";"07-05-2021";"Dankort-køb POLITIKEN Nota C073894";"-299,00";"928.257,15"
"07-05-2021";"07-05-2021";"Betalingsservice ATP LIVSLANG PENSION Aftalenr. 903811345";"-568,02";"928.556,15"
"05-05-2021";"05-05-2021";"Dankort-køb ELGIGANTEN A/S Nota C830243";"-668,00";"929.124,17"
"04-05-2021";"04-05-2021";"kontaktløs Dankort Coop 365 Dildhaven Nota 501508";"-60,90";"929.792,17"
"04-05-2021";"04-05-2021";"Visa/Dankort USD 15,00 Kurs 628,20 Nota nr. 57474 FRANTECH* FRANTECH 454, HTTPSMY.FRA";"-94,23";"929.853,07"
"04-05-2021";"04-05-2021";"Dankort-køb TELMORE A/S Nota C05211F2VA0B";"-348,00";"929.947,30"
"03-05-2021";"03-05-2021";"Visa/Dankort MICROSOFT MPN PC, 8006427676, Nota nr. 77408";"-2.800,00";"930.295,30"
"03-05-2021";"03-05-2021";"Betalingsservice ENERGISELSKABET NATUR-ENERGI A/S Aftalenr. 917338144";"-2.212,43";"933.095,30"
"27-04-2021";"27-04-2021";"kontaktløs Dankort Netto Dildhaven Nota 727926";"-62,45";"935.307,73"
"26-04-2021";"26-04-2021";"MobilePay køb DAN CATERING V/JØRN PEDERSEN";"-45,00";"935.370,18"
"21-04-2021";"21-04-2021";"kontaktløs Dankort Netto Trylleskoven Nota 743791";"-77,80";"935.415,18"
"21-04-2021";"21-04-2021";"kontaktløs Dankort LIDL Nota 697162";"-119,11";"935.492,98"
"20-04-2021";"20-04-2021";"Visa/Dankort Itacho, Solrod Strand, Nota nr. 83996";"-583,00";"935.612,09"
"14-04-2021";"14-04-2021";"kontaktløs Dankort LIDL Nota 622758";"-483,00";"936.195,09"
"14-04-2021";"14-04-2021";"Betalingsservice ATP - SAMLET BETALING Aftalenr. 905240531";"-539,00";"936.678,09"
"13-04-2021";"13-04-2021";"OVERFØRSEL";"-25,00";"937.217,09"
"12-04-2021";"12-04-2021";"Dankort CIRCLE K SØNDRE R. Nota Z901733";"-181,83";"937.242,09"
"12-04-2021";"12-04-2021";"Dankort-køb ELGIGANTEN A/S Nota C868018";"-5.049,00";"937.423,92"
"12-04-2021";"12-04-2021";"kontaktløs Dankort REMA 1000, 863 Bal Nota 330797";"-127,70";"942.472,92"
"07-04-2021";"07-04-2021";"kontaktløs Dankort LIDL Nota 616982";"-103,60";"942.600,62"
"07-04-2021";"07-04-2021";"Dankort-køb POLITIKEN Nota C217816";"-299,00";"942.704,22"
"07-04-2021";"07-04-2021";"Visa/Dankort USD 49,00 Kurs 643,30 Nota nr. 52383 AXOSOFT GITKRAKEN, HTTPSWWW.GITK";"-315,22";"943.003,22"
"07-04-2021";"07-04-2021";"Visa/Dankort USD 15,00 Kurs 644,66 Nota nr. 63083 FRANTECH* FRANTECH 444, HTTPSMY.FRA";"-96,70";"943.318,44"
"06-04-2021";"06-04-2021";"kontaktløs Dankort ALDI Øst 083 Nota 200385";"-63,90";"943.415,14"
"06-04-2021";"06-04-2021";"kontaktløs Dankort LIDL Nota 335028";"-288,20";"943.479,04"
"06-04-2021";"06-04-2021";"Betalingsservice FIBIA P/S Aftalenr. 918707218";"-966,75";"943.767,24"
"06-04-2021";"06-04-2021";"Dankort CIRCLE K LYNGBYGÅR Nota Z229791";"-311,72";"944.733,99"
"06-04-2021";"06-04-2021";"Dankort-køb TELMORE A/S Nota C04211E6KEFB";"-338,00";"945.045,71"
"06-04-2021";"06-04-2021";"Dankort ALDI Øst 083 Nota 450097";"-95,20";"945.383,71"
"06-04-2021";"06-04-2021";"kontaktløs Dankort ALDI Øst 083 Nota 449245";"-61,20";"945.478,91"
"06-04-2021";"06-04-2021";"kontaktløs Dankort Netto Solrød Nota 199609";"-96,45";"945.540,11"
"31-03-2021";"31-03-2021";"Rente af indestående";"-1.690,33";"945.636,56"
"31-03-2021";"31-03-2021";"Gebyr";"-852,00";"947.326,89"
"31-03-2021";"31-03-2021";"kontaktløs Dankort LIDL Nota 614382";"-204,61";"948.178,89"
"30-03-2021";"30-03-2021";"Visa/Dankort VELOCONCEPT CYCLING AP, KARLSLUNDE, Nota nr. 65362";"-435,00";"948.383,50"
"29-03-2021";"29-03-2021";"kontaktløs Dankort Rema 1000 Strøby E Nota 830557";"-155,90";"948.818,50"
"29-03-2021";"29-03-2021";"kontaktløs Dankort ALDI Øst 083 Nota 192525";"-50,20";"948.974,40"
"26-03-2021";"26-03-2021";"kontaktløs Dankort LIDL Nota 610047";"-150,20";"949.024,60"
"26-03-2021";"26-03-2021";"kontaktløs Dankort Coop 365 Solrød Nota 313053";"-73,90";"949.174,80"
"25-03-2021";"25-03-2021";"kontaktløs Dankort LIDL Nota 608945";"-130,50";"949.248,70"
"25-03-2021";"25-03-2021";"kontaktløs Dankort Netto Solrød Nota 583205";"-54,50";"949.379,20"
"22-03-2021";"22-03-2021";"kontaktløs Dankort LIDL Nota 606545";"-174,98";"949.433,70"
"22-03-2021";"22-03-2021";"kontaktløs Dankort Coop 365 Solrød Nota 202541";"-39,40";"949.608,68"
"19-03-2021";"19-03-2021";"kontaktløs Dankort ALDI Øst 083 Nota 441122";"-17,93";"949.648,08"
"19-03-2021";"19-03-2021";"kontaktløs Dankort LIDL Nota 604058";"-168,75";"949.666,01"
"19-03-2021";"19-03-2021";"Dankort OK Solrød Strand Nota 048240";"-178,76";"949.834,76"
"17-03-2021";"17-03-2021";"kontaktløs Dankort Veloconcept Cyclin Nota 002001";"-1.035,00";"950.013,52"
"17-03-2021";"17-03-2021";"kontaktløs Dankort ALDI Øst 083 Nota 185481";"-99,75";"951.048,52"
"11-03-2021";"11-03-2021";"kontaktløs Dankort LIDL Nota 138125";"-108,58";"951.148,27"
"10-03-2021";"10-03-2021";"AFREGNING TIL TOLD & SKAT";"-39.113,00";"951.256,85"
"09-03-2021";"09-03-2021";"Dankort-køb POLITIKEN Nota C714430";"-299,00";"990.369,85"
"05-03-2021";"05-03-2021";"Dankort-køb TELMORE A/S Nota C01031DA8ISB";"-367,00";"990.668,85"
"03-03-2021";"03-03-2021";"Visa/Dankort USD 15,00 Kurs 627,60 Nota nr. 92500 FRANTECH* FRANTECH 435, HTTPSMY.FRA";"-94,14";"991.035,85"
"02-03-2021";"02-03-2021";"løn jan-feb";"-59.852,62";"991.129,99"
"02-03-2021";"02-03-2021";"moms q3-q4 2020";"-73.077,00";"1.050.982,61"
"02-03-2021";"02-03-2021";"moms q1-q2 2020";"-52.718,00";"1.124.059,61"
"02-03-2021";"02-03-2021";"OVERFØRSEL";"-25,00";"1.176.777,61"
"23-02-2021";"23-02-2021";"Gebyr";"-150,00";"1.176.802,61"
"16-02-2021";"16-02-2021";"OVERFØRSEL";"-25,00";"1.176.952,61"
"10-02-2021";"10-02-2021";"kontaktløs Dankort OK Plus Solrød Str Nota 061390";"-10,00";"1.176.977,61"
"09-02-2021";"09-02-2021";"Dankort-køb POLITIKEN Nota C145621";"-299,00";"1.176.987,61"
"08-02-2021";"08-02-2021";"Betalingsservice ATP LIVSLANG PENSION Aftalenr. 903811345";"-852,03";"1.177.286,61"
"05-02-2021";"05-02-2021";"Dankort-køb TELMORE A/S Nota C01021CA97JB";"-309,00";"1.178.138,64"
"03-02-2021";"03-02-2021";"Visa/Dankort USD 15,00 Kurs 626,33 Nota nr. 76391 FRANTECH* FRANTECH 425, HTTPSMY.FRA";"-93,95";"1.178.447,64"
"01-02-2021";"01-02-2021";"Betalingsservice ENERGISELSKABET NATUR-ENERGI A/S Aftalenr. 917338144";"-2.292,23";"1.178.541,59"
"29-01-2021";"29-01-2021";"AFREGNING TIL TOLD & SKAT";"-38.144,00";"1.180.833,82"
"25-01-2021";"25-01-2021";"Dankort-køb proshop.dk Nota 48189903";"-2.134,00";"1.218.977,82"
"20-01-2021";"20-01-2021";"Betalingsservice ATP - SAMLET BETALING Aftalenr. 905240531";"-246,25";"1.221.111,82"
"20-01-2021";"20-01-2021";"forsikring";"-5.137,52";"1.221.358,07"
"20-01-2021";"20-01-2021";"Dankort-køb Punktum dk Nota P9752776";"-50,00";"1.226.495,59"
"18-01-2021";"18-01-2021";"AFREGNING TIL TOLD & SKAT";"-19.100,00";"1.226.545,59"
"12-01-2021";"12-01-2021";"MobilePay køb DAN CATERING V/JØRN PEDERSEN";"-30,00";"1.245.645,59"
"05-01-2021";"05-01-2021";"dustin";"-2.349,36";"1.245.675,59"
"05-01-2021";"05-01-2021";"OVERFØRSEL";"-25,00";"1.248.024,95"
"05-01-2021";"05-01-2021";"Visa/Dankort USD 15,00 Kurs 618,80 Nota nr. 10505 FRANTECH* FRANTECH 416, HTTPSMY.FRA";"-92,82";"1.248.049,95"
"04-01-2021";"04-01-2021";"Betalingsservice FIBIA P/S Aftalenr. 918707218";"-966,75";"1.248.142,77"
"04-01-2021";"04-01-2021";"Dankort-køb TELMORE A/S Nota C02011BE0CRB";"-238,00";"1.249.109,52"
"04-01-2021";"04-01-2021";"løn dec";"-29.903,57";"1.249.347,52"
